PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,data_loaded_at
16054919072000,160549190,72000,NON-CRIMINAL,FOUND PROPERTY,Monday,07/04/2016,14:00,PARK,NONE,1400 Block of HAYES ST,-122.440315119729,37.77472506502107,POINT (-122.44031512 37.774725065),2025/06/20 12:17:56 PM
16054020119010,160540201,19010,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Monday,07/04/2016,06:28,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4065209871443,37.785062942166064,POINT (-122.406520987 37.785062942),2025/06/20 12:17:56 PM
16614862506244,166148625,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,22:30,TARAVAL,NONE,MOUNT VERNON AV / LOUISBURG ST,-122.45082137945568,37.71935410047501,POINT (-122.450821379 37.7193541),2025/06/20 12:17:56 PM
16054167968020,160541679,68020,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,07/04/2016,19:00,CENTRAL,NONE,2900 Block of HYDE ST,-122.42076831851553,37.80807391074717,POINT (-122.420768319 37.808073911),2025/06/20 12:17:56 PM
16054090063010,160540900,63010,WARRANTS,WARRANT ARREST,Monday,07/04/2016,14:45,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.42695563170949,37.769247063207025,POINT (-122.426955632 37.769247063),2025/06/20 12:17:56 PM
16054340906244,160543409,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,20:30,CENTRAL,NONE,500 Block of GEARY ST,-122.4127772969902,37.786834389270076,POINT (-122.412777297 37.786834389),2025/06/20 12:17:56 PM
16054320505071,160543205,05071,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Monday,07/04/2016,12:15,SOUTHERN,NONE,300 Block of BRYANT ST,-122.3925455224339,37.78397571735637,POINT (-122.392545522 37.783975717),2025/06/20 12:17:56 PM
16054057426040,160540574,26040,EXTORTION,ATTEMPTED EXTORTION,Monday,07/04/2016,10:00,RICHMOND,NONE,200 Block of 26TH AV,-122.48622404608228,37.784744273265964,POINT (-122.486224046 37.784744273),2025/06/20 12:17:56 PM
16054075664085,160540756,64085,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,07/04/2016,13:40,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.41569492213362,37.78258519684673,POINT (-122.415694922 37.782585197),2025/06/20 12:17:56 PM
16054719405041,160547194,05041,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,07/04/2016,15:00,TARAVAL,NONE,1700 Block of WAWONA ST,-122.48617733046656,37.73681291889757,POINT (-122.48617733 37.736812919),2025/06/20 12:17:56 PM
